circuit_id,sample_id,fault_type,faulted_components,component_values,design_values,node_voltages,branch_currents,success
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_1,normal,,"{""R1"": 981.079262, ""R2"": 2021.492667, ""R3"": 2948.419201, ""R4"": 1481.178282}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.320565, ""b"": 4.04526, ""in"": 10.0}","{""R1"": 0.002731109, ""R2"": 0.001620241, ""R3"": 0.001110868, ""R4"": 0.002731109}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_2,normal,,"{""R1"": 1005.629496, ""R2"": 1984.506704, ""R3"": 2990.066577, ""R4"": 1484.457373}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.269473, ""b"": 4.03066, ""in"": 10.0}","{""R1"": 0.002715241, ""R2"": 0.00163205, ""R3"": 0.001083191, ""R4"": 0.002715241}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_3,normal,,"{""R1"": 989.001776, ""R2"": 2027.626587, ""R3"": 2949.429876, ""R4"": 1514.055937}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.33037, ""b"": 4.086918, ""in"": 10.0}","{""R1"": 0.002699318, ""R2"": 0.00159963, ""R3"": 0.001099688, ""R4"": 0.002699318}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_4,normal,,"{""R1"": 1011.519471, ""R2"": 2039.652226, ""R3"": 3056.122904, ""R4"": 1517.540601}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.304278, ""b"": 4.044279, ""in"": 10.0}","{""R1"": 0.002665022, ""R2"": 0.001598311, ""R3"": 0.001066711, ""R4"": 0.002665022}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_5,normal,,"{""R1"": 992.701197, ""R2"": 1962.721724, ""R3"": 2972.220281, ""R4"": 1470.560774}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.276817, ""b"": 4.034049, ""in"": 10.0}","{""R1"": 0.002743205, ""R2"": 0.001652179, ""R3"": 0.001091025, ""R4"": 0.002743205}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_6,normal,,"{""R1"": 1002.245922, ""R2"": 1991.140794, ""R3"": 3024.82393, ""R4"": 1512.04953}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.302187, ""b"": 4.070085, ""in"": 10.0}","{""R1"": 0.002691767, ""R2"": 0.001623241, ""R3"": 0.001068526, ""R4"": 0.002691767}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_7,normal,,"{""R1"": 994.843275, ""R2"": 1977.970867, ""R3"": 2964.526937, ""R4"": 1520.411423}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.312432, ""b"": 4.10739, ""in"": 10.0}","{""R1"": 0.002701499, ""R2"": 0.001620368, ""R3"": 0.001081131, ""R4"": 0.002701499}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_8,normal,,"{""R1"": 1011.368286, ""R2"": 2007.003875, ""R3"": 2989.51897, ""R4"": 1512.096142}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.284403, ""b"": 4.060087, ""in"": 10.0}","{""R1"": 0.002685072, ""R2"": 0.001606532, ""R3"": 0.00107854, ""R4"": 0.002685072}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_9,normal,,"{""R1"": 1002.636182, ""R2"": 1984.47429, ""R3"": 2996.582157, ""R4"": 1522.124322}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.303735, ""b"": 4.09326, ""in"": 10.0}","{""R1"": 0.002689176, ""R2"": 0.001617797, ""R3"": 0.001071379, ""R4"": 0.002689176}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_10,normal,,"{""R1"": 1007.832622, ""R2"": 1999.449504, ""R3"": 3012.198288, ""R4"": 1504.474732}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.286436, ""b"": 4.05076, ""in"": 10.0}","{""R1"": 0.002692475, ""R2"": 0.001618284, ""R3"": 0.001074191, ""R4"": 0.002692475}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_11,normal,,"{""R1"": 1009.215605, ""R2"": 2009.404141, ""R3"": 3042.87163, ""R4"": 1480.654192}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.272456, ""b"": 4.001672, ""in"": 10.0}","{""R1"": 0.002702638, ""R2"": 0.001627738, ""R3"": 0.0010749, ""R4"": 0.002702638}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_12,normal,,"{""R1"": 1014.395023, ""R2"": 2027.502057, ""R3"": 2959.283033, ""R4"": 1527.994621}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.29174, ""b"": 4.079482, ""in"": 10.0}","{""R1"": 0.002669828, ""R2"": 0.001584343, ""R3"": 0.001085485, ""R4"": 0.002669828}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_13,normal,,"{""R1"": 1006.654389, ""R2"": 2009.254194, ""R3"": 3012.315932, ""R4"": 1480.578846}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.273812, ""b"": 4.009654, ""in"": 10.0}","{""R1"": 0.002708166, ""R2"": 0.001624562, ""R3"": 0.001083604, ""R4"": 0.002708166}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_14,normal,,"{""R1"": 998.300939, ""R2"": 1971.203593, ""R3"": 3023.05627, ""R4"": 1485.907411}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.2853, ""b"": 4.040658, ""in"": 10.0}","{""R1"": 0.00271932, ""R2"": 0.001646021, ""R3"": 0.001073299, ""R4"": 0.00271932}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_15,normal,,"{""R1"": 987.804321, ""R2"": 1970.966355, ""R3"": 2960.246114, ""R4"": 1491.261596}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.302741, ""b"": 4.071979, ""in"": 10.0}","{""R1"": 0.00273056, ""R2"": 0.001639177, ""R3"": 0.001091383, ""R4"": 0.00273056}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_16,normal,,"{""R1"": 995.979017, ""R2"": 1997.400669, ""R3"": 3049.229098, ""R4"": 1491.67918}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.304164, ""b"": 4.037557, ""in"": 10.0}","{""R1"": 0.002706719, ""R2"": 0.001635429, ""R3"": 0.00107129, ""R4"": 0.002706719}",True
