circuit_id,sample_id,fault_type,faulted_components,component_values,design_values,node_voltages,branch_currents,success
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_1,normal,,"{""R1"": 999.442013, ""R2"": 2005.890858, ""R3"": 2948.38721, ""R4"": 1525.255436}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.312202, ""b"": 4.101867, ""in"": 10.0}","{""R1"": 0.002689298, ""R2"": 0.001600454, ""R3"": 0.001088845, ""R4"": 0.002689298}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_2,normal,,"{""R1"": 997.204855, ""R2"": 1988.999092, ""R3"": 2945.798221, ""R4"": 1521.178451}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.309001, ""b"": 4.104964, ""in"": 10.0}","{""R1"": 0.002698542, ""R2"": 0.001610879, ""R3"": 0.001087663, ""R4"": 0.002698542}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_3,normal,,"{""R1"": 993.883428, ""R2"": 1980.628141, ""R3"": 3052.454549, ""R4"": 1473.786733}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.291042, ""b"": 4.016996, ""in"": 10.0}","{""R1"": 0.002725629, ""R2"": 0.001653034, ""R3"": 0.001072595, ""R4"": 0.002725629}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_4,normal,,"{""R1"": 1008.045336, ""R2"": 1970.481772, ""R3"": 3009.015769, ""R4"": 1508.291992}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.280743, ""b"": 4.068699, ""in"": 10.0}","{""R1"": 0.002697554, ""R2"": 0.001630081, ""R3"": 0.001067473, ""R4"": 0.002697554}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_5,normal,,"{""R1"": 1008.886127, ""R2"": 2036.728518, ""R3"": 2960.380403, ""R4"": 1487.953268}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.27581, ""b"": 4.017765, ""in"": 10.0}","{""R1"": 0.002700196, ""R2"": 0.001599646, ""R3"": 0.001100549, ""R4"": 0.002700196}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_6,normal,,"{""R1"": 1016.399789, ""R2"": 2006.919981, ""R3"": 3031.906344, ""R4"": 1483.164885}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.258269, ""b"": 4.000827, ""in"": 10.0}","{""R1"": 0.002697493, ""R2"": 0.001623105, ""R3"": 0.001074388, ""R4"": 0.002697493}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_7,normal,,"{""R1"": 986.392658, ""R2"": 1971.458286, ""R3"": 3022.337985, ""R4"": 1482.505999}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.306455, ""b"": 4.048282, ""in"": 10.0}","{""R1"": 0.002730702, ""R2"": 0.001652672, ""R3"": 0.001078031, ""R4"": 0.002730702}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_8,normal,,"{""R1"": 1017.076941, ""R2"": 1979.521802, ""R3"": 2966.301521, ""R4"": 1482.902911}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.241613, ""b"": 4.021742, ""in"": 10.0}","{""R1"": 0.002712074, ""R2"": 0.00162659, ""R3"": 0.001085483, ""R4"": 0.002712074}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_9,normal,,"{""R1"": 995.564736, ""R2"": 2011.172836, ""R3"": 3053.344529, ""R4"": 1523.686875}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.332189, ""b"": 4.083018, ""in"": 10.0}","{""R1"": 0.002679696, ""R2"": 0.001615561, ""R3"": 0.001064135, ""R4"": 0.002679696}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_10,normal,,"{""R1"": 993.257625, ""R2"": 1994.582653, ""R3"": 3008.101818, ""R4"": 1470.857107}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.288739, ""b"": 4.014948, ""in"": 10.0}","{""R1"": 0.002729666, ""R2"": 0.001641341, ""R3"": 0.001088324, ""R4"": 0.002729666}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_11,normal,,"{""R1"": 1017.586387, ""R2"": 2017.218813, ""R3"": 3016.34257, ""R4"": 1500.119549}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.269336, ""b"": 4.025528, ""in"": 10.0}","{""R1"": 0.002683471, ""R2"": 0.00160806, ""R3"": 0.001075411, ""R4"": 0.002683471}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_12,normal,,"{""R1"": 1011.923757, ""R2"": 2009.432221, ""R3"": 3046.786968, ""R4"": 1482.952387}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.269295, ""b"": 4.001789, ""in"": 10.0}","{""R1"": 0.002698528, ""R2"": 0.001626085, ""R3"": 0.001072443, ""R4"": 0.002698528}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_13,normal,,"{""R1"": 1016.252208, ""R2"": 1974.174835, ""R3"": 2941.256801, ""R4"": 1478.505843}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.235477, ""b"": 4.021997, ""in"": 10.0}","{""R1"": 0.002720312, ""R2"": 0.001627759, ""R3"": 0.001092553, ""R4"": 0.002720312}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_14,normal,,"{""R1"": 1000.860135, ""R2"": 1997.078328, ""R3"": 3059.892803, ""R4"": 1472.09123}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.28127, ""b"": 3.998779, ""in"": 10.0}","{""R1"": 0.002716394, ""R2"": 0.001643647, ""R3"": 0.001072747, ""R4"": 0.002716394}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_15,normal,,"{""R1"": 990.099423, ""R2"": 1985.086205, ""R3"": 3044.792868, ""R4"": 1514.965559}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.328906, ""b"": 4.087079, ""in"": 10.0}","{""R1"": 0.002697803, ""R2"": 0.001633091, ""R3"": 0.001064712, ""R4"": 0.002697803}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_16,normal,,"{""R1"": 994.173453, ""R2"": 2023.241727, ""R3"": 3016.746244, ""R4"": 1484.216141}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.305344, ""b"": 4.022892, ""in"": 10.0}","{""R1"": 0.002710449, ""R2"": 0.001622372, ""R3"": 0.001088077, ""R4"": 0.002710449}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_17,normal,,"{""R1"": 1013.652104, ""R2"": 1969.709502, ""R3"": 3023.618173, ""R4"": 1476.390268}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.247578, ""b"": 4.008919, ""in"": 10.0}","{""R1"": 0.002715352, ""R2"": 0.001644232, ""R3"": 0.00107112, ""R4"": 0.002715352}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_18,normal,,"{""R1"": 999.957551, ""R2"": 1994.993062, ""R3"": 3007.817784, ""R4"": 1498.345448}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.295763, ""b"": 4.052053, ""in"": 10.0}","{""R1"": 0.002704352, ""R2"": 0.001625925, ""R3"": 0.001078426, ""R4"": 0.002704352}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_19,normal,,"{""R1"": 1005.429704, ""R2"": 1970.056554, ""R3"": 3044.800176, ""R4"": 1500.456353}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.284103, ""b"": 4.053077, ""in"": 10.0}","{""R1"": 0.00270123, ""R2"": 0.001640068, ""R3"": 0.001061162, ""R4"": 0.00270123}",True
series_parallel_R1R2R3R4,series_parallel_R1R2R3R4__normal_20,normal,,"{""R1"": 981.361681, ""R2"": 1970.141643, ""R3"": 3037.804507, ""R4"": 1509.909856}","{""R1"": 1000, ""R2"": 2000, ""R3"": 3000, ""R4"": 1500}","{""a"": 7.337852, ""b"": 4.095944, ""in"": 10.0}","{""R1"": 0.002712708, ""R2"": 0.00164552, ""R3"": 0.001067188, ""R4"": 0.002712708}",True
